13 10
5 26
1 3 21
2 4 8
3 16 2
4 8 23
5 10 4
6 11 19
7 3 21
8 6 21
9 17 15
10 3 16
11 4 21
12 15 12
13 24 2
14 25 14
15 14 14
16 17 5
17 17 11
18 9 7
19 1 17
20 2 2
21 21 8
22 8 16
23 8 25
24 4 4
25 6 18
26 17 1
27 5 12
28 13 7
29 23 14
30 7 6
31 8 5
32 16 17
33 8 22
34 6 3
35 8 20
36 21 11
37 19 9
38 23 14
39 20 22
40 12 20
41 10 22
42 10 10
43 5 24
44 6 23
45 3 13
46 2 19
47 4 1
48 11 3
49 9 20
50 17 3
51 8 7
52 20 8
53 12 10
54 11 13
55 4 17
56 21 19
57 16 8
58 22 25
59 19 25
60 21 22
61 3 13
62 6 16
63 23 7
64 15 4
65 24 19
66 11 19
67 24 25
68 4 19
69 12 14
70 13 3
71 3 25
72 21 6
73 24 24
74 24 13
75 18 2
76 3 3
77 5 20
78 22 15
79 18 17
80 3 5
81 24 12
82 1 2
83 18 5
84 24 24
85 21 20
86 1 11
87 24 16
88 11 17
89 25 7
90 22 23
91 12 19
92 11 23
93 11 22
94 4 1
95 18 5
96 2 12
97 14 18
98 19 6
99 24 3
100 11 2 
