-100 -100
1000 1000
3 546 736
4 942 599
5 554 581
6 730 868
7 896 518
8 854 613
9 823 987
10 977 549
11 826 587
12 808 758
13 667 511
14 981 988
15 597 956
16 769 639
17 684 655
18 548 649
19 791 592
20 996 956
21 532 610
22 560 542
23 911 597
24 806 559
25 681 882
26 667 910
27 855 829
28 799 741
29 867 688
30 880 991
31 775 717
32 853 560
33 704 897
34 617 715
35 527 644
36 568 826
37 517 914
38 648 664
39 647 619
40 832 593
41 976 688
42 651 803
43 596 760
44 915 739
45 852 852
46 916 863
47 933 608
48 948 858
3 325 94
4 69 411
5 466 234
6 462 400
7 334 356
8 205 207
9 271 441
10 5 90
11 59 163
12 152 169
13 208 472
14 97 85
15 173 253
16 212 403
17 330 311
18 141 267
19 334 424
20 299 459
21 8 314
22 295 17
23 286 333
24 390 324
25 470 114
26 105 383
27 421 310
28 339 94
29 391 37
30 440 325
31 54 478
32 49 338
33 428 440
34 57 125
35 226 34
36 348 118
37 231 205
38 346 136
39 126 361
40 88 464
41 69 82
42 119 286
43 338 263
44 100 353
45 361 424
46 293 103
47 435 417
48 111 343
49 71 323
50 450 39
51 44 315
52 110 68
53 98 86
54 474 33
55 397 319
56 423 149
57 471 442
58 421 19
59 1 112
60 384 440
61 385 347
62 258 45
63 488 252
64 88 164
65 338 255
66 341 209
67 326 231
68 98 94
69 341 207
70 280 352
71 78 358
72 334 403
73 458 123
74 327 292
75 22 31
76 91 167
77 190 217
78 13 369
79 463 432
80 236 244
81 4 1
82 9 223
83 274 431
84 131 420
85 102 415
86 66 475
87 207 481
88 231 201
89 357 205
90 408 420
91 269 90
92 87 101
93 161 258
94 128 383
95 10 472
96 131 59
97 291 229
98 437 85
99 322 312
100 235 324
101 253 424
102 53 206
103 452 139
104 430 248
105 436 31
106 117 311
107 224 146
108 58 419
109 336 483
110 245 414
111 72 407
112 346 421
113 482 370
114 189 227
115 336 299
116 25 285
117 134 66
118 96 19
119 394 90
120 122 371
121 291 373
122 486 83
123 96 54
124 470 418
125 459 286
126 389 440
127 109 126
128 280 4
129 139 150
130 483 290
131 214 65
132 294 422
133 472 283
134 156 125
135 262 285
136 123 243
137 473 395
138 136 58
139 467 475
140 363 426
141 320 397
142 163 149
143 412 360
144 395 340
145 194 42
146 197 398
147 129 471
148 81 449
149 215 101
150 267 95
151 371 13
152 166 212
153 87 160
154 345 383
155 192 496
156 251 388
157 150 438
158 56 197
159 231 54
160 111 38
161 139 402
162 74 185
163 159 447
164 462 436
165 49 342
166 264 306
167 23 64
168 465 471
169 146 448
170 442 26
171 325 348
172 362 342
173 317 351
174 141 398
175 499 388
176 113 468
177 86 17
178 356 323
179 66 88
180 303 78
181 330 324
182 4 445
183 102 168
184 319 323
185 399 109
186 253 401
187 310 438
188 474 64
189 66 434
190 394 108
191 375 186
192 312 172
193 432 335
194 111 309
195 461 203
196 244 271
197 195 295
198 343 333
199 131 439
200 496 296
201 398 223
202 374 370
203 188 471
204 99 118
205 58 237
206 390 48
207 372 467
208 218 242
209 392 116
210 6 241
211 117 65
212 141 205
213 102 353
214 120 307
215 36 100
216 153 348
217 51 306
218 494 370
219 75 400
220 262 67
221 465 67
222 124 314
223 314 398
224 462 422
225 139 256
226 258 362
227 175 121
228 243 244
229 26 105
230 380 426
231 358 212
232 37 426
233 417 318
234 48 420
235 154 454
236 123 86
237 351 363
238 216 329
239 373 373
240 244 172
241 306 37
242 34 91
243 485 405
244 331 346
245 104 312
246 113 228
247 175 185
248 223 110
249 476 214
250 421 251
251 437 496
252 198 239
253 117 173
254 238 484
255 438 2
256 418 470
257 97 48
258 37 313
259 349 405
260 76 256
261 429 265
262 237 314
263 480 293
264 126 111
265 147 300
266 478 318
267 43 467
268 427 163
269 231 497
270 415 216
271 57 230
272 2 61
273 266 34
274 27 175
275 399 138
276 375 239
277 287 157
278 83 491
279 258 463
280 58 361
281 288 135
282 147 435
283 247 150
284 329 409
285 16 238
286 458 280
287 222 353
288 338 450
289 202 412
290 42 125
291 375 178
292 404 95
293 55 180
294 136 228
295 27 85
296 61 453
297 425 229
298 326 284
299 42 24
300 17 188
301 233 23
302 276 455
303 219 181
304 161 352
305 374 221
306 46 459
307 40 386
308 137 205
309 32 118
310 274 181
311 75 83
312 272 166
313 481 297
314 349 63
315 468 442
316 294 287
317 214 122
318 305 446
319 322 84
320 328 361
321 393 234
322 280 117
323 485 104
324 96 363
325 436 173
326 262 26
327 159 7
328 79 353
329 232 305
330 269 497
331 466 391
332 105 376
333 292 240
334 226 219
335 55 188
336 454 104
337 430 5
338 35 484
339 87 44
340 63 139
341 334 273
342 244 365
343 407 391
344 302 406
345 248 67
346 205 482
347 494 80
348 80 488
349 284 413
350 300 28
351 294 464
352 208 98
353 248 79
354 135 440
355 349 141
356 16 28
357 232 124
358 495 438
359 169 131
360 161 78
361 81 143
362 499 110
363 156 114
364 424 401
365 267 269
366 88 384
367 443 453
368 14 90
369 99 138
370 342 415
371 390 102
372 35 125
373 106 241
374 160 403
375 86 127
376 276 403
377 425 283
378 449 314
379 110 489
380 401 174
381 408 401
382 290 208
383 439 389
384 412 115
385 218 308
386 461 189
387 319 417
388 430 97
389 92 221
390 265 436
391 101 447
392 451 449
393 24 172
394 341 391
395 486 177
396 169 104
397 90 97
398 469 430
399 347 464
400 328 19
401 201 400
402 378 206
403 265 75
404 338 171
405 109 1
406 212 381
407 185 255
408 495 181
409 62 221
410 61 157
411 71 32
412 202 324
413 87 186
414 395 273
415 269 484
416 2 211
417 473 320
418 293 127
419 285 229
420 43 420
421 152 349
422 35 234
423 9 258
424 315 161
425 287 158
426 5 476
427 14 285
428 67 327
429 38 241
430 273 475
431 352 168
432 321 383
433 128 403
434 389 396
435 422 71
436 262 74
437 8 345
438 159 171
439 331 420
440 55 343
441 125 174
442 72 413
443 301 359
444 289 131
445 475 397
446 88 207
447 105 343
448 318 443
449 380 421
450 191 47
451 159 166
452 161 116
453 149 97
454 405 407
455 328 193
456 10 223
457 26 355
458 452 267
459 240 271
460 67 368
461 135 33
462 338 421
463 319 272
464 67 432
465 376 19
466 365 24
467 5 478
468 327 412
469 49 442
470 1 112
471 141 21
472 78 72
473 306 174
474 498 234
475 225 367
476 83 19
477 344 52
478 386 400
479 294 388
480 247 154
481 110 317
482 205 247
483 486 367
484 476 124
485 167 388
486 344 140
487 373 351
488 491 27
489 210 276
490 395 437
491 3 126
492 157 65
493 173 42
494 196 235
495 167 159
496 113 273
497 217 440
